  ID | phrase      | source                      | meaning                                     | gender | wuxing | quality | keywords
  29 | 达观           | 候选词                        | 通达可观                                     | B      |        | 4     | 事业有成（10个候选词）
  30 | 建功           | 候选词                        | 建立功业                                     | B      |        | 4     | 事业有成（10个候选词）
  31 | 金玉           | 候选词                        | 珍贵富足                                     | B      |        | 4     | 富贵财富（10个候选词）
  32 | 富润           | 候选词                        | 富足润泽                                     | B      |        | 4     | 富贵财富（10个候选词）
  33 | 昌裕           | 候选词                        | 昌盛富裕                                     | B      |        | 4     | 富贵财富（10个候选词）
  34 | 殷实           | 候选词                        | 丰厚充实                                     | B      |        | 4     | 富贵财富（10个候选词）
  35 | 宝瑞           | 候选词                        | 祥瑞珍贵                                     | B      |        | 4     | 富贵财富（10个候选词）
  36 | 丰年           | 候选词                        | 丰收之年                                     | B      |        | 4     | 富贵财富（10个候选词）
  37 | 裕如           | 候选词                        | 富足从容                                     | B      |        | 4     | 富贵财富（10个候选词）
  38 | 万钟           | 候选词                        | 财富极多                                     | B      |        | 4     | 富贵财富（10个候选词）
  39 | 禄存           | 候选词                        | 福禄长存                                     | B      |        | 4     | 富贵财富（10个候选词）
  40 | 财厚           | 候选词                        | 财富丰厚                                     | B      |        | 4     | 富贵财富（10个候选词）
  41 | 德馨           | 候选词                        | 品德芬芳                                     | B      |        | 4     | 品德高尚（10个候选词）
  42 | 仁厚           | 候选词                        | 仁爱宽厚                                     | B      |        | 4     | 品德高尚（10个候选词）
  43 | 义诚           | 候选词                        | 正义诚信                                     | B      |        | 4     | 品德高尚（10个候选词）
  44 | 礼和           | 候选词                        | 礼让温和                                     | B      |        | 4     | 品德高尚（10个候选词）
  45 | 智仁           | 候选词                        | 智慧仁爱                                     | B      |        | 4     | 品德高尚（10个候选词）
  46 | 信达           | 候选词                        | 诚信通达                                     | B      |        | 4     | 品德高尚（10个候选词）
  47 | 忠恕           | 候选词                        | 忠诚宽恕                                     | B      |        | 4     | 品德高尚（10个候选词）
  48 | 廉洁           | 候选词                        | 清廉高洁                                     | B      |        | 4     | 品德高尚（10个候选词）
  49 | 正直           | 候选词                        | 刚正不阿                                     | B      |        | 4     | 品德高尚（10个候选词）
  50 | 谦光           | 候选词                        | 谦虚有光                                     | B      |        | 4     | 品德高尚（10个候选词）
  51 | 熙阳           | 候选词                        | 和煦阳光                                     | B      |        | 4     | 阳光开朗（10个候选词）
  52 | 明朗           | 候选词                        | 明亮开朗                                     | B      |        | 4     | 阳光开朗（10个候选词）
  53 | 乐天           | 候选词                        | 乐观向上                                     | B      |        | 4     | 阳光开朗（10个候选词）
  54 | 欣然           | 候选词                        | 欢喜自然                                     | B      |        | 4     | 阳光开朗（10个候选词）
  55 | 恺悌           | 候选词                        | 和乐平易                                     | B      |        | 4     | 阳光开朗（10个候选词）
  56 | 舒畅           | 候选词                        | 舒心畅快                                     | B      |        | 4     | 阳光开朗（10个候选词）
  57 | 开朗           | 候选词                        | 心胸开阔                                     | B      |        | 4     | 阳光开朗（10个候选词）
  58 | 笑然           | 候选词                        | 含笑自然                                     | B      |        | 4     | 阳光开朗（10个候选词）
  59 | 暖阳           | 候选词                        | 温暖阳光                                     | B      |        | 4     | 阳光开朗（10个候选词）
  60 | 乐乐           | 候选词                        | 快乐愉悦                                     | B      |        | 4     | 阳光开朗（10个候选词）
  61 | 婉如           | 候选词                        | 温婉美好                                     | B      |        | 4     | 美丽俊俏（10个候选词）
  62 | 嫣然           | 候选词                        | 美好含笑                                     | B      |        | 4     | 美丽俊俏（10个候选词）
  63 | 姝丽           | 候选词                        | 美丽女子                                     | B      |        | 4     | 美丽俊俏（10个候选词）
  64 | 倩兮           | 候选词                        | 笑容美好                                     | B      |        | 4     | 美丽俊俏（10个候选词）
  65 | 雅婷           | 候选词                        | 优雅娉婷                                     | B      |        | 4     | 美丽俊俏（10个候选词）
  66 | 秀妍           | 候选词                        | 秀丽美妍                                     | B      |        | 4     | 美丽俊俏（10个候选词）
  67 | 若溪           | 候选词                        | 如溪清澈                                     | B      |        | 4     | 美丽俊俏（10个候选词）
  68 | 艺璇           | 候选词                        | 才艺美玉                                     | B      |        | 4     | 美丽俊俏（10个候选词）
  69 | 美如           | 候选词                        | 美好如意                                     | B      |        | 4     | 美丽俊俏（10个候选词）
  70 | 娇然           | 候选词                        | 娇美自然                                     | B      |        | 4     | 美丽俊俏（10个候选词）
  71 | 毅刚           | 候选词                        | 坚毅刚强                                     | B      |        | 4     | 勇敢坚强（10个候选词）
  72 | 勇为           | 候选词                        | 勇敢作为                                     | B      |        | 4     | 勇敢坚强（10个候选词）
  73 | 强志           | 候选词                        | 意志坚强                                     | B      |        | 4     | 勇敢坚强（10个候选词）
  74 | 坚白           | 候选词                        | 坚贞清白                                     | B      |        | 4     | 勇敢坚强（10个候选词）
  75 | 果行           | 候选词                        | 果敢行动                                     | B      |        | 4     | 勇敢坚强（10个候选词）
  76 | 无畏           | 候选词                        | 无所畏惧                                     | B      |        | 4     | 勇敢坚强（10个候选词）
  77 | 劲松           | 候选词                        | 如松坚韧                                     | B      |        | 4     | 勇敢坚强（10个候选词）
  78 | 浩然           | 候选词                        | 浩然正气                                     | B      |        | 4     | 勇敢坚强（10个候选词）
  79 | 铮然           | 候选词                        | 铮铮铁骨                                     | B      |        | 4     | 勇敢坚强（10个候选词）
  80 | 恒毅           | 候选词                        | 恒久坚毅                                     | B      |        | 4     | 勇敢坚强（10个候选词）
  81 | 嘉乐           | 候选词                        | 美好快乐                                     | B      |        | 4     | 幸福美满（10个候选词）
  82 | 和美           | 候选词                        | 和谐美满                                     | B      |        | 4     | 幸福美满（10个候选词）
  83 | 欣悦           | 候选词                        | 欣喜愉悦                                     | B      |        | 4     | 幸福美满（10个候选词）
  84 | 愉然           | 候选词                        | 愉悦自然                                     | B      |        | 4     | 幸福美满（10个候选词）
  85 | 满堂           | 候选词                        | 福气满堂                                     | B      |        | 4     | 幸福美满（10个候选词）
  86 | 天伦           | 候选词                        | 天伦之乐                                     | B      |        | 4     | 幸福美满（10个候选词）
  87 | 福泽           | 候选词                        | 福气深厚                                     | B      |        | 4     | 幸福美满（10个候选词）
  88 | 喜乐           | 候选词                        | 欢喜快乐                                     | B      |        | 4     | 幸福美满（10个候选词）
  89 | 圆融           | 候选词                        | 圆满融通                                     | B      |        | 4     | 幸福美满（10个候选词）
  90 | 洽怡           | 候选词                        | 和洽愉悦                                     | B      |        | 4     | 幸福美满（10个候选词）
  91 | 艺卓           | 候选词                        | 艺术卓越                                     | B      |        | 4     | 才华艺术（10个候选词）
  92 | 文翰           | 候选词                        | 文章华美                                     | B      |        | 4     | 才华艺术（10个候选词）
  93 | 墨香           | 候选词                        | 笔墨书香                                     | B      |        | 4     | 才华艺术（10个候选词）
  94 | 弦歌           | 候选词                        | 琴瑟和鸣                                     | B      |        | 4     | 才华艺术（10个候选词）
  95 | 书韵           | 候选词                        | 书卷气韵                                     | B      |        | 4     | 才华艺术（10个候选词）
  96 | 画意           | 候选词                        | 如诗如画                                     | B      |        | 4     | 才华艺术（10个候选词）
  97 | 琴心           | 候选词                        | 琴艺心灵                                     | B      |        | 4     | 才华艺术（10个候选词）
  98 | 诗语           | 候选词                        | 诗意语言                                     | B      |        | 4     | 才华艺术（10个候选词）
  99 | 才骏           | 候选词                        | 才华卓越                                     | B      |        | 4     | 才华艺术（10个候选词）
 100 | 雅集           | 候选词                        | 文人雅集                                     | B      |        | 4     | 才华艺术（10个候选词）
 101 | 安            | 单字                         | 平安、安定                                    | B      |        | 4     | 平安健康
 102 | 康            | 单字                         | 健康、安乐                                    | B      |        | 4     | 平安健康
 103 | 宁            | 单字                         | 安宁、宁静                                    | B      |        | 4     | 平安健康
 104 | 泰            | 单字                         | 安泰、通达                                    | B      |        | 4     | 平安健康
 105 | 颐            | 单字                         | 养身、安适                                    | B      |        | 4     | 平安健康
 106 | 平            | 单字                         | 平安、平和                                    | B      |        | 4     | 平安健康
 107 | 和            | 单字                         | 和谐、温和                                    | B      |        | 4     | 平安健康
 108 | 顺            | 单字                         | 顺遂、顺利                                    | B      |        | 4     | 平安健康
 109 | 佑            | 单字                         | 护佑、保佑                                    | B      |        | 4     | 平安健康
 110 | 恬            | 单字                         | 恬静、安然                                    | B      |        | 4     | 平安健康
 111 | 睿            | 单字                         | 智慧、深明                                    | B      |        | 4     | 聪明智慧
 112 | 智            | 单字                         | 智慧、聪明                                    | B      |        | 4     | 聪明智慧
 113 | 慧            | 单字                         | 聪慧、灵性                                    | B      |        | 4     | 聪明智慧
 114 | 明            | 单字                         | 明达、清晰                                    | B      |        | 4     | 聪明智慧
 115 | 哲            | 单字                         | 哲理、明智                                    | B      |        | 4     | 聪明智慧
 116 | 颖            | 单字                         | 聪颖、出众                                    | B      |        | 4     | 聪明智慧
 117 | 灵            | 单字                         | 灵巧、聪敏                                    | B      |        | 4     | 聪明智慧
 118 | 悟            | 单字                         | 觉悟、领悟                                    | B      |        | 4     | 聪明智慧
 119 | 析            | 单字                         | 明辨、分析                                    | B      |        | 4     | 聪明智慧
 120 | 觉            | 单字                         | 觉悟、智慧                                    | B      |        | 4     | 聪明智慧
 121 | 成            | 单字                         | 成功、成就                                    | B      |        | 4     | 事业有成
 122 | 达            | 单字                         | 通达、显达                                    | B      |        | 4     | 事业有成
 123 | 业            | 单字                         | 事业、功业                                    | B      |        | 4     | 事业有成
 124 | 宏            | 单字                         | 宏大、广博                                    | B      |        | 4     | 事业有成
 125 | 展            | 单字                         | 施展、拓展                                    | B      |        | 4     | 事业有成
 126 | 腾            | 单字                         | 腾飞、上升                                    | B      |        | 4     | 事业有成
 127 | 升            | 单字                         | 上升、晋升                                    | B      |        | 4     | 事业有成
 128 | 鹏            | 单字                         | 大鹏、高飞                                    | B      |        | 4     | 事业有成
 129 | 勋            | 单字                         | 功勋、业绩                                    | B      |        | 4     | 事业有成
 130 | 骏            | 单字                         | 骏马、杰出                                    | B      |        | 4     | 事业有成
 131 | 富            | 单字                         | 富裕、富有                                    | B      |        | 4     | 富贵财富
 132 | 贵            | 单字                         | 尊贵、高贵                                    | B      |        | 4     | 富贵财富
 133 | 金            | 单字                         | 珍贵、财富                                    | B      |        | 4     | 富贵财富
 134 | 玉            | 单字                         | 珍贵、美好                                    | B      |        | 4     | 富贵财富
 135 | 宝            | 单字                         | 宝贵、珍爱                                    | B      |        | 4     | 富贵财富
 136 | 瑞            | 单字                         | 祥瑞、吉祥                                    | B      |        | 4     | 富贵财富
 137 | 丰            | 单字                         | 丰收、丰盛                                    | B      |        | 4     | 富贵财富
 138 | 裕            | 单字                         | 富足、宽裕                                    | B      |        | 4     | 富贵财富
 139 | 昌            | 单字                         | 昌盛、兴旺                                    | B      |        | 4     | 富贵财富
 140 | 殷            | 单字                         | 殷实、丰厚                                    | B      |        | 4     | 富贵财富
 141 | 德            | 单字                         | 品德、道德                                    | B      |        | 4     | 品德高尚
 142 | 仁            | 单字                         | 仁爱、仁慈                                    | B      |        | 4     | 品德高尚
 143 | 义            | 单字                         | 正义、道义                                    | B      |        | 4     | 品德高尚
 144 | 礼            | 单字                         | 礼节、尊重                                    | B      |        | 4     | 品德高尚
 145 | 诚            | 单字                         | 诚信、真诚                                    | B      |        | 4     | 品德高尚
 146 | 信            | 单字                         | 诚信、信任                                    | B      |        | 4     | 品德高尚
 147 | 忠            | 单字                         | 忠诚、忠心                                    | B      |        | 4     | 品德高尚
 148 | 恕            | 单字                         | 宽恕、包容                                    | B      |        | 4     | 品德高尚
 149 | 廉            | 单字                         | 廉洁、清廉                                    | B      |        | 4     | 品德高尚
 150 | 谦            | 单字                         | 谦虚、谦逊                                    | B      |        | 4     | 品德高尚
 151 | 阳            | 单字                         | 阳光、温暖                                    | B      |        | 4     | 阳光开朗
 152 | 光            | 单字                         | 光明、光彩                                    | B      |        | 4     | 阳光开朗
 153 | 朗            | 单字                         | 明朗、爽朗                                    | B      |        | 4     | 阳光开朗
 154 | 熙            | 单字                         | 光明、和煦                                    | B      |        | 4     | 阳光开朗
 155 | 乐            | 单字                         | 快乐、欢乐                                    | B      |        | 4     | 阳光开朗
 156 | 然            | 单字                         | 自然、坦然                                    | B      |        | 4     | 阳光开朗
 157 | 恺            | 单字                         | 和乐、快乐                                    | B      |        | 4     | 阳光开朗
 158 | 畅            | 单字                         | 舒畅、畅快                                    | B      |        | 4     | 阳光开朗
 159 | 曦            | 单字                         | 晨光、阳光                                    | B      |        | 4     | 阳光开朗
 160 | 昭            | 单字                         | 光明、显著                                    | B      |        | 4     | 阳光开朗
 161 | 美            | 单字                         | 美丽、美好                                    | B      |        | 4     | 美丽俊俏
 162 | 丽            | 单字                         | 美丽、秀丽                                    | B      |        | 4     | 美丽俊俏
 163 | 雅            | 单字                         | 优雅、高尚                                    | B      |        | 4     | 美丽俊俏
 164 | 婷            | 单字                         | 娉婷、美好                                    | B      |        | 4     | 美丽俊俏
 165 | 嫣            | 单字                         | 嫣然、美好                                    | B      |        | 4     | 美丽俊俏
 166 | 姝            | 单字                         | 美好、女子                                    | B      |        | 4     | 美丽俊俏
 167 | 倩            | 单字                         | 美丽、含笑                                    | B      |        | 4     | 美丽俊俏
 168 | 秀            | 单字                         | 秀丽、优秀                                    | B      |        | 4     | 美丽俊俏
 169 | 婉            | 单字                         | 温婉、柔和                                    | B      |        | 4     | 美丽俊俏
 170 | 娇            | 单字                         | 娇美、可爱                                    | B      |        | 4     | 美丽俊俏
 171 | 勇            | 单字                         | 勇敢、胆识                                    | B      |        | 4     | 勇敢坚强
 172 | 刚            | 单字                         | 刚强、坚强                                    | B      |        | 4     | 勇敢坚强
 173 | 毅            | 单字                         | 坚毅、果断                                    | B      |        | 4     | 勇敢坚强
 174 | 强            | 单字                         | 强大、坚强                                    | B      |        | 4     | 勇敢坚强
 175 | 坚            | 单字                         | 坚定、牢固                                    | B      |        | 4     | 勇敢坚强
 176 | 果            | 单字                         | 果敢、果断                                    | B      |        | 4     | 勇敢坚强
 177 | 敢            | 单字                         | 勇敢、敢于                                    | B      |        | 4     | 勇敢坚强
 178 | 铮            | 单字                         | 铮铮、刚正                                    | B      |        | 4     | 勇敢坚强
 179 | 悍            | 单字                         | 勇敢、强悍                                    | B      |        | 4     | 勇敢坚强
 180 | 雄            | 单字                         | 英雄、雄壮                                    | B      |        | 4     | 勇敢坚强
 181 | 福            | 单字                         | 福气、幸福                                    | B      |        | 4     | 幸福美满
 182 | 喜            | 单字                         | 喜悦、欢喜                                    | B      |        | 4     | 幸福美满
 183 | 乐            | 单字                         | 快乐、安乐                                    | B      |        | 4     | 幸福美满
 184 | 嘉            | 单字                         | 美好、赞美                                    | B      |        | 4     | 幸福美满
 185 | 欣            | 单字                         | 欣喜、欢欣                                    | B      |        | 4     | 幸福美满
 186 | 悦            | 单字                         | 喜悦、愉快                                    | B      |        | 4     | 幸福美满
 187 | 满            | 单字                         | 圆满、满足                                    | B      |        | 4     | 幸福美满
 188 | 圆            | 单字                         | 圆满、周全                                    | B      |        | 4     | 幸福美满
 189 | 怡            | 单字                         | 愉悦、快乐                                    | B      |        | 4     | 幸福美满
 190 | 祯            | 单字                         | 吉祥、幸福                                    | B      |        | 4     | 幸福美满
 191 | 艺            | 单字                         | 才艺、艺术                                    | B      |        | 4     | 才华艺术
 192 | 才            | 单字                         | 才华、才能                                    | B      |        | 4     | 才华艺术
 193 | 文            | 单字                         | 文采、文化                                    | B      |        | 4     | 才华艺术
 194 | 墨            | 单字                         | 笔墨、书画                                    | B      |        | 4     | 才华艺术
 195 | 书            | 单字                         | 书法、读书                                    | B      |        | 4     | 才华艺术
 196 | 画            | 单字                         | 绘画、艺术                                    | B      |        | 4     | 才华艺术
 197 | 琴            | 单字                         | 琴艺、音乐                                    | B      |        | 4     | 才华艺术
 198 | 诗            | 单字                         | 诗意、文学                                    | B      |        | 4     | 才华艺术
 199 | 韵            | 单字                         | 韵味、风韵                                    | B      |        | 4     | 才华艺术
 200 | 弦            | 单字                         | 弦乐、乐器                                    | B      |        | 4     | 才华艺术
 201 | 禾            | 补充单字                       | 五谷丰登，安康                                  | B      |        | 4     | 平安健康
 202 | 芮            | 补充单字                       | 小草初生，生机                                  | B      |        | 4     | 平安健康
 203 | 璟            | 补充单字                       | 玉之光，平安                                   | B      |        | 4     | 平安健康
 204 | 屹            | 补充单字                       | 屹立不倒                                     | B      |        | 4     | 平安健康
 205 | 晞            | 补充单字                       | 破晓安康                                     | B      |        | 4     | 平安健康
 206 | 珩            | 补充单字                       | 佩玉平安                                     | B      |        | 4     | 平安健康
 207 | 燊            | 补充单字                       | 旺盛安康                                     | B      |        | 4     | 平安健康
 208 | 珵            | 补充单字                       | 玉之平安                                     | B      |        | 4     | 平安健康
 209 | 歆            | 补充单字                       | 欣喜安康                                     | B      |        | 4     | 平安健康
 210 | 颐            | 补充单字                       | 养身安适                                     | B      |        | 4     | 平安健康
 211 | 宥            | 补充单字                       | 宽宥平安                                     | B      |        | 4     | 平安健康
 212 | 晏            | 补充单字                       | 天清日晏                                     | B      |        | 4     | 平安健康
 213 | 栩            | 补充单字                       | 栩栩如生                                     | B      |        | 4     | 平安健康
 214 | 珞            | 补充单字                       | 璎珞平安                                     | B      |        | 4     | 平安健康
 215 | 甯            | 补充单字                       | 安宁之心                                     | B      |        | 4     | 平安健康
 216 | 禾安           | 补充二字词                      | 五谷丰登之安                                   | B      |        | 4     | 平安健康
 217 | 芮宁           | 补充二字词                      | 初生之宁                                     | B      |        | 4     | 平安健康
 218 | 璟和           | 补充二字词                      | 玉之温和                                     | B      |        | 4     | 平安健康
 219 | 屹然           | 补充二字词                      | 屹立安然                                     | B      |        | 4     | 平安健康
 220 | 晞光           | 补充二字词                      | 晨光安康                                     | B      |        | 4     | 平安健康
 221 | 珩安           | 补充二字词                      | 佩玉平安                                     | B      |        | 4     | 平安健康
 222 | 燊宁           | 补充二字词                      | 旺盛安宁                                     | B      |        | 4     | 平安健康
 223 | 歆安           | 补充二字词                      | 欣喜平安                                     | B      |        | 4     | 平安健康
 224 | 颐和           | 补充二字词                      | 养身平和                                     | B      |        | 4     | 平安健康
 225 | 宥安           | 补充二字词                      | 宽宥平安                                     | B      |        | 4     | 平安健康
 226 | 晏如           | 补充二字词                      | 天清日晏                                     | B      |        | 4     | 平安健康
 227 | 栩然           | 补充二字词                      | 生动自然                                     | B      |        | 4     | 平安健康
 228 | 珞安           | 补充二字词                      | 璎珞平安                                     | B      |        | 4     | 平安健康
 229 | 甯和           | 补充二字词                      | 安宁平和                                     | B      |        | 4     | 平安健康
 230 | 载安           | 补充二字词                      | 承载平安                                     | B      |        | 4     | 平安健康
 231 | 奕            | 补充单字                       | 神采奕奕                                     | B      |        | 4     | 聪明智慧
 232 | 昱            | 补充单字                       | 日光智慧                                     | B      |        | 4     | 聪明智慧
 233 | 珩            | 补充单字                       | 玉之智慧                                     | B      |        | 4     | 聪明智慧
 234 | 瑾            | 补充单字                       | 美玉智慧                                     | B      |        | 4     | 聪明智慧
 235 | 瑜            | 补充单字                       | 智慧如瑜                                     | B      |        | 4     | 聪明智慧
 236 | 琛            | 补充单字                       | 珍宝智慧                                     | B      |        | 4     | 聪明智慧
 237 | 璋            | 补充单字                       | 玉之智                                      | B      |        | 4     | 聪明智慧
 238 | 璇            | 补充单字                       | 美玉智慧                                     | B      |        | 4     | 聪明智慧
 239 | 璟            | 补充单字                       | 玉光智慧                                     | B      |        | 4     | 聪明智慧
 240 | 皙            | 补充单字                       | 明辨智慧                                     | B      |        | 4     | 聪明智慧
 241 | 觉            | 补充单字                       | 觉悟智慧                                     | B      |        | 4     | 聪明智慧
 242 | 鉴            | 补充单字                       | 明鉴智慧                                     | B      |        | 4     | 聪明智慧
 243 | 识            | 补充单字                       | 见识广博                                     | B      |        | 4     | 聪明智慧
 244 | 晰            | 补充单字                       | 清晰明辨                                     | B      |        | 4     | 聪明智慧
 245 | 昭            | 补充单字                       | 昭然若揭                                     | B      |        | 4     | 聪明智慧
 246 | 奕辰           | 补充二字词                      | 神采星辰                                     | B      |        | 4     | 聪明智慧
 247 | 昱辰           | 补充二字词                      | 日光星辰                                     | B      |        | 4     | 聪明智慧
 248 | 瑾瑜           | 补充二字词                      | 美玉智慧                                     | B      |        | 4     | 聪明智慧
 249 | 琛瑞           | 补充二字词                      | 珍宝祥瑞                                     | B      |        | 4     | 聪明智慧
 250 | 璋明           | 补充二字词                      | 玉之明达                                     | B      |        | 4     | 聪明智慧
 251 | 璇玑           | 补充二字词                      | 北斗智慧                                     | B      |        | 4     | 聪明智慧
 252 | 璟睿           | 补充二字词                      | 玉光睿智                                     | B      |        | 4     | 聪明智慧
 253 | 皙明           | 补充二字词                      | 明辨通达                                     | B      |        | 4     | 聪明智慧
 254 | 觉明           | 补充二字词                      | 觉悟明理                                     | B      |        | 4     | 聪明智慧
 255 | 鉴远           | 补充二字词                      | 明鉴深远                                     | B      |        | 4     | 聪明智慧
 256 | 识远           | 补充二字词                      | 见识远大                                     | B      |        | 4     | 聪明智慧
 257 | 晰然           | 补充二字词                      | 清晰了然                                     | B      |        | 4     | 聪明智慧
 258 | 昭然           | 补充二字词                      | 昭然明达                                     | B      |        | 4     | 聪明智慧
 259 | 明睿           | 补充二字词                      | 明智睿达                                     | B      |        | 4     | 聪明智慧
 260 | 思齐           | 补充二字词                      | 见贤思齐                                     | B      |        | 4     | 聪明智慧
 261 | 宸            | 补充单字                       | 帝王之气                                     | B      |        | 4     | 事业有成
 262 | 泽            | 补充单字                       | 恩泽润物                                     | B      |        | 4     | 事业有成
 263 | 霖            | 补充单字                       | 甘霖济世                                     | B      |        | 4     | 事业有成
 264 | 航            | 补充单字                       | 扬帆起航                                     | B      |        | 4     | 事业有成
 265 | 锦            | 补充单字                       | 前程似锦                                     | B      |        | 4     | 事业有成
 266 | 凯            | 补充单字                       | 凯旋而归                                     | B      |        | 4     | 事业有成
 267 | 鹏            | 补充单字                       | 大鹏展翅                                     | B      |        | 4     | 事业有成
 268 | 鸿            | 补充单字                       | 鸿图大展                                     | B      |        | 4     | 事业有成
 269 | 臻            | 补充单字                       | 日益臻善                                     | B      |        | 4     | 事业有成
 270 | 昂            | 补充单字                       | 昂首向前                                     | B      |        | 4     | 事业有成
 271 | 凌            | 补充单字                       | 凌云壮志                                     | B      |        | 4     | 事业有成
 272 | 攀            | 补充单字                       | 攀登高峰                                     | B      |        | 4     | 事业有成
 273 | 跻            | 补充单字                       | 跻身前列                                     | B      |        | 4     | 事业有成
 274 | 烨            | 补充单字                       | 光辉事业                                     | B      |        | 4     | 事业有成
 275 | 韬            | 补充单字                       | 韬光养晦                                     | B      |        | 4     | 事业有成
 276 | 沐宸           | 补充二字词                      | 如沐宸光                                     | B      |        | 4     | 事业有成
 277 | 锦程           | 补充二字词                      | 锦绣前程                                     | B      |        | 4     | 事业有成
 278 | 凯泽           | 补充二字词                      | 凯旋恩泽                                     | B      |        | 4     | 事业有成
 279 | 鸿渐           | 补充二字词                      | 鸿渐于磐                                     | B      |        | 4     | 事业有成
 280 | 臻善           | 补充二字词                      | 日益臻善                                     | B      |        | 4     | 事业有成
 281 | 昂然           | 补充二字词                      | 昂首向前                                     | B      |        | 4     | 事业有成
 282 | 凌云           | 补充二字词                      | 凌云壮志                                     | B      |        | 4     | 事业有成
 283 | 跻攀           | 补充二字词                      | 跻身攀登                                     | B      |        | 4     | 事业有成
 284 | 烨然           | 补充二字词                      | 光辉灿烂                                     | B      |        | 4     | 事业有成
 285 | 韬光           | 补充二字词                      | 韬光养晦                                     | B      |        | 4     | 事业有成
 286 | 振宇           | 补充二字词                      | 振翅宇宙                                     | B      |        | 4     | 事业有成
 287 | 启航           | 补充二字词                      | 开启航程                                     | B      |        | 4     | 事业有成
 288 | 立诚           | 补充二字词                      | 立业诚信                                     | B      |        | 4     | 事业有成
 289 | 建功           | 补充二字词                      | 建立功业                                     | B      |        | 4     | 事业有成
 290 | 旭升           | 补充二字词                      | 旭日东升                                     | B      |        | 4     | 事业有成
 291 | 璋            | 补充单字                       | 玉之富贵                                     | B      |        | 4     | 富贵财富
 292 | 璐            | 补充单字                       | 宝玉富贵                                     | B      |        | 4     | 富贵财富
 293 | 璟            | 补充单字                       | 玉光财富                                     | B      |        | 4     | 富贵财富
 294 | 琛            | 补充单字                       | 珍宝财富                                     | B      |        | 4     | 富贵财富
 295 | 珵            | 补充单字                       | 玉之财富                                     | B      |        | 4     | 富贵财富
 296 | 珩            | 补充单字                       | 佩玉财富                                     | B      |        | 4     | 富贵财富
 297 | 瑄            | 补充单字                       | 璧玉财富                                     | B      |        | 4     | 富贵财富
 298 | 璜            | 补充单字                       | 半璧财富                                     | B      |        | 4     | 富贵财富
 299 | 琮            | 补充单字                       | 玉琮财富                                     | B      |        | 4     | 富贵财富
 300 | 玥            | 补充单字                       | 神珠财富                                     | B      |        | 4     | 富贵财富
